,District,Member,Party,Prior experience,Education,Assumed office,Residence,Born,Age,Surname,link,gender
0,Alabama 1,Jerry Carl,Republican,Mobile County Commission,Florida Gateway College,2021,Mobile,1958-06-17,63,Carl,/143749/jerry-carl,1
1,Alabama 2,Barry Moore,Republican,Alabama House of Representatives,Enterprise State Community College (AS)Auburn University (BS),2021,Enterprise,1966-09-26,55,Moore,/121792/barry-moore,1
2,Alabama 3,Mike Rogers,Republican,Calhoun County CommissionerAlabama House of Representatives,"Jacksonville State University (BA, MPA)Birmingham School of Law (JD)",2003,Anniston,1958-07-16,63,Rogers,/5705/mike-rogers,1
3,Alabama 4,Robert Aderholt,Republican,Haleyville Municipal Judge,University of North AlabamaBirmingham–Southern College (BA)Samford University (JD),1997,Haleyville,1965-07-22,56,Aderholt,/441/robert-aderholt,1
4,Alabama 5,Mo Brooks,Republican,Alabama House of RepresentativesMadison County Commissioner,Duke University (BA)University of Alabama (JD),2011,Huntsville,1954-04-29,67,Brooks,/121610/mo-brooks,1
5,Alabama 6,Gary Palmer,Republican,Policy analyst,University of Alabama (BS),2015,Hoover,1954-05-14,67,Palmer,/146274/gary-palmer,1
6,Alabama 7,Terri Sewell,Democratic,Attorney,"Princeton University (BA)St Hilda's College, Oxford (MA)Harvard University (JD)",2011,Birmingham,1965-01-01,56,Sewell,/121621/terri-sewell,0
7,Alaska at-large,Don Young,Republican,Ship captainMayor of Fort Yukon,"Yuba CollegeCalifornia State University, Chico (BA)",1973 (special),Fort Yukon,1933-06-09,88,Young,/26717/donald-young,1
8,Arizona 1,Tom O'Halleran,Democratic,Arizona Senate,Lewis UniversityDePaul University,2017,Sedona,1946-01-24,75,O'Halleran,/28499/tom-ohalleran,1
9,Arizona 2,Ann Kirkpatrick,Democratic,U.S. HouseArizona House of Representatives,"University of Arizona (BA, JD)",2019,Tucson,1950-03-24,71,Kirkpatrick,/28425/ann-kirkpatrick,0
10,Arizona 3,Raúl Grijalva,Democratic,Pima County Board of Supervisors,University of Arizona (BA),2003,Tucson,1948-02-19,73,Grijalva,/28253/raul-grijalva,1
