,State,Senator,Party,Age,Occupation(s),Previous elective,Assumed office,Term up,Residence,Years served,Seniority,Surname,Gender,Party num
97,Wisconsin,Tammy Baldwin,Democratic,58,Lawyer,U.S. House,2013-01-03,2024-01-01,Madison,8,0,Baldwin,0,1
98,Wyoming,John Barrasso,Republican,68,Orthopedic surgeon,Wyoming Senate,2007-06-25,2024-01-01,Casper,14,1,Barrasso,1,-1
10,Colorado,Michael Bennet,Democratic,56,Lawyer,Denver Public Schools,2009-01-21,2022-01-01,Denver,12,1,Bennet,1,1
82,Tennessee,Marsha Blackburn,Republican,68,Marketing consultant,U.S. House,2019-01-03,2024-01-01,Brentwood,2,1,Blackburn,0,-1
12,Connecticut,Richard Blumenthal,Democratic,74,Marine Corps Reserve,Connecticut Attorney General,2011-01-03,2022-01-01,Greenwich,10,1,Blumenthal,1,1
48,Missouri,Roy Blunt,Republican,71,University president,U.S. House,2011-01-03,2022-01-01,Springfield,10,1,Blunt,1,-1
59,New Jersey,Cory Booker,Democratic,51,Lawyer,"Mayor of Newark, New Jersey",2013-10-31,2026-01-01,Newark,8,0,Booker,1,1
6,Arkansas,John Boozman,Republican,70,Optometrist,U.S. House,2011-01-03,2022-01-01,Rogers,10,1,Boozman,1,-1
27,Indiana,Mike Braun,Republican,66,Businessman,Indiana House of Representatives,2019-01-03,2024-01-01,Jasper,2,0,Braun,1,-1
68,Ohio,Sherrod Brown,Democratic,68,Teacher,U.S. House,2007-01-03,2024-01-01,Cleveland,14,1,Brown,1,1
64,North Carolina,Richard Burr,Republican,65,Sales manager,U.S. House,2005-01-03,2022-01-01,Winston-Salem,16,1,Burr,1,-1
93,Washington,Maria Cantwell,Democratic,62,Marketing vice president,U.S. House,2001-01-03,2024-01-01,Edmonds,20,0,Cantwell,0,1
95,West Virginia,Shelley Capito,Republican,67,College career counselor,U.S. House,2015-01-03,2026-01-01,Charleston,6,0,Capito,0,-1
38,Maryland,Ben Cardin,Democratic,77,Lawyer,U.S. House,2007-01-03,2024-01-01,Baltimore,14,1,Cardin,1,1
14,Delaware,Tom Carper,Democratic,74,U.S. Navy officer,Governor of Delaware,2001-01-03,2024-01-01,Wilmington,20,1,Carper,1,1
74,Pennsylvania,"Bob Casey, Jr.",Democratic,60,Teacher,Pennsylvania Treasurer,2007-01-03,2024-01-01,Scranton,14,1,Casey,1,1
34,Louisiana,Bill Cassidy,Republican,63,Physician,U.S. House,2015-01-03,2026-01-01,Baton Rouge,6,1,Cassidy,1,-1
36,Maine,Susan Collins,Republican,68,House staffer,Deputy,1997-01-03,2026-01-01,Bangor,24,1,Collins,0,-1
15,Delaware,Chris Coons,Democratic,57,Nonprofit organization executive,"New Castle County, Delaware",2010-11-15,2026-01-01,Wilmington,11,0,Coons,1,1
84,Texas,John Cornyn,Republican,68,Lawyer,San Antonio District Judge,2002-12-02,2026-01-01,San Antonio,19,1,Cornyn,1,-1
7,Arkansas,Tom Cotton,Republican,43,Lawyer,U.S. House,2015-01-03,2026-01-01,Dardanelle,6,0,Cotton,1,-1
67,North Dakota,Kevin Cramer,Republican,60,State Tourism Director,U.S. House,2019-01-03,2024-01-01,Bismarck,2,0,Cramer,1,-1
22,Idaho,Mike Crapo,Republican,69,Lawyer,U.S. House,1999-01-03,2022-01-01,Idaho Falls,22,1,Crapo,1,-1
85,Texas,Ted Cruz,Republican,50,Lawyer,U.S. Assoc. Deputy AG,2013-01-03,2024-01-01,Houston,8,0,Cruz,1,-1
51,Montana,Steve Daines,Republican,58,Businessman,U.S. House,2015-01-03,2026-01-01,Bozeman,6,0,Daines,1,-1
25,Illinois,Tammy Duckworth,Democratic,52,Army National Guard,U.S. House,2017-01-03,2022-01-01,Hoffman Estates,4,0,Duckworth,0,1
24,Illinois,Dick Durbin,Democratic,76,Lawyer,U.S. House,1997-01-03,2026-01-01,Springfield,24,1,Durbin,1,1
29,Iowa,Joni Ernst,Republican,50,Farmer,Iowa Senate,2015-01-03,2026-01-01,Red Oak,6,0,Ernst,0,-1
8,California,Dianne Feinstein,Democratic,87,Non-profit organization,Mayor of San Francisco,1992-11-10,2024-01-01,San Francisco,29,1,Feinstein,0,1
52,Nebraska,Deb Fischer,Republican,69,Rancher,Nebraska Legislature,2013-01-03,2024-01-01,Valentine,8,1,Fischer,0,-1
63,New York,Kirsten Gillibrand,Democratic,54,Lawyer,U.S. House,2009-01-26,2024-01-01,Troy,12,0,Gillibrand,0,1
78,South Carolina,Lindsey Graham,Republican,65,Lawyer,U.S. House,2003-01-03,2026-01-01,Seneca,18,1,Graham,1,-1
28,Iowa,Chuck Grassley,Republican,87,Farmer,U.S. House,1981-01-03,2022-01-01,New Hartford,40,1,Grassley,1,-1
83,Tennessee,Bill Hagerty,Republican,61,Management consultant,United States Ambassador to Japan,2021-01-03,2026-01-01,Nashville,0,0,Hagerty,1,-1
57,New Hampshire,Maggie Hassan,Democratic,62,Lawyer,Governor of New Hampshire,2017-01-03,2022-01-01,Newfields,4,0,Hassan,0,1
49,Missouri,Joshua Hawley,Republican,41,Lawyer,Attorney General of Missouri,2019-01-03,2024-01-01,Springfield,2,0,Hawley,1,-1
60,New Mexico,Martin Heinrich,Democratic,49,Nonprofit,U.S. House,2013-01-03,2024-01-01,Albuquerque,8,1,Heinrich,1,1
11,Colorado,John Hickenlooper,Democratic,68,Geologist,Governor of Colorado,2021-01-03,2026-01-01,Denver,0,0,Hickenlooper,1,1
21,Hawaii,Mazie Hirono,Democratic,73,Lawyer,U.S. House,2013-01-03,2024-01-01,Honolulu,8,0,Hirono,0,1
66,North Dakota,John Hoeven,Republican,63,Banker,Governor of North Dakota,2011-01-03,2022-01-01,Bismarck,10,1,Hoeven,1,-1
39,Maryland,"Chris Van Hollen, Jr.",Democratic,62,U.S. Senate staff member,U.S. House,2017-01-03,2022-01-01,Kensington,4,0,Hollen,1,1
47,Mississippi,Cindy Hyde-Smith,Republican,61,Farmer,Mississippi Commissioner of Agriculture and Commerce,2018-04-09,2026-01-01,Brookhaven,3,0,Hyde-Smith,0,-1
70,Oklahoma,Jim Inhofe,Republican,86,Specialist Fourth Class,U.S. House,1994-11-16,2026-01-01,Tulsa,27,1,Inhofe,1,-1
96,Wisconsin,Ron Johnson,Republican,65,Accountant,None,2011-01-03,2022-01-01,Oshkosh,10,1,Johnson,1,-1
91,Virginia,Tim Kaine,Democratic,62,Missionary,Governor of Virginia,2013-01-03,2024-01-01,Richmond,8,0,Kaine,1,1
5,Arizona,Mark Kelly,Democratic,56,U.S. Navy,None,2020-12-02,2022-01-01,Tucson,1,0,Kelly,1,1
35,Louisiana,John Kennedy,Republican,69,Magazine editor,Louisiana Treasurer,2017-01-03,2022-01-01,Madisonville,4,0,Kennedy,1,-1
37,Maine,"Angus King, Jr.",Independent,76,Lawyer,Governor of Maine,2013-01-03,2024-01-01,Brunswick,8,0,King,1,0
44,Minnesota,Amy Klobuchar,Democratic,60,Lawyer,"Hennepin County, Minnesota",2007-01-03,2024-01-01,Minneapolis,14,1,Klobuchar,0,1
71,Oklahoma,James Lankford,Republican,52,Teacher,U.S. House,2015-01-03,2022-01-01,Edmond,6,0,Lankford,1,-1
88,Vermont,Patrick Leahy,Democratic,80,Lawyer,State's Attorney,1975-01-03,2022-01-01,Middlesex,46,1,Leahy,1,1
86,Utah,Mike Lee,Republican,49,Lawyer,Assistant United States Attorney,2011-01-03,2022-01-01,Alpine,10,1,Lee,1,-1
61,New Mexico,"Ben Lujan, Jr.",Democratic,48,Director of Administrative Services and,U.S. House,2021-01-03,2026-01-01,Santa Fe,0,0,Luján,1,1
99,Wyoming,Cynthia Lummis,Republican,66,Lawyer,U.S. House,2021-01-03,2026-01-01,Cheyenne,0,0,Lummis,0,-1
94,West Virginia,Joe Manchin III,Democratic,73,Corporate executive,Governor of West Virginia,2010-11-15,2024-01-01,Charleston,11,1,Manchin,1,1
41,Massachusetts,Ed Markey,Democratic,74,"Member,",U.S. House,2013-07-16,2026-01-01,Malden,8,0,Markey,1,1
31,Kansas,Roger Marshall,Republican,60,Doctor,U.S. House,2021-01-03,2026-01-01,Great Bend,0,0,Marshall,1,-1
54,Nevada,Catherine Cortez Masto,Democratic,56,Lawyer,Nevada Attorney General,2017-01-03,2022-01-01,Las Vegas,4,1,Masto,0,1
